"Aylik_Yas","raw","norm","percentile"
80,"135",31.41,3.1
80,"134",31.55,3.3
80,"133",31.7,3.4
80,"132",31.85,3.5
80,"131",32,3.6
80,"130",32.15,3.7
80,"129",32.3,3.8
80,"128",32.46,4
80,"127",32.62,4.1
80,"126",32.78,4.2
80,"125",32.94,4.4
80,"124",33.1,4.6
80,"123",33.27,4.7
80,"122",33.44,4.9
80,"121",33.61,5.1
80,"120",33.78,5.2
80,"119",33.96,5.4
80,"118",34.14,5.6
80,"117",34.32,5.8
80,"116",34.5,6.1
80,"115",34.69,6.3
80,"114",34.88,6.5
80,"113",35.08,6.8
80,"112",35.28,7
80,"111",35.48,7.3
80,"110",35.68,7.6
80,"109",35.89,7.9
80,"108",36.1,8.2
80,"107",36.32,8.6
80,"106",36.54,8.9
80,"105",36.76,9.3
80,"104",36.99,9.7
80,"103",37.23,10.1
80,"102",37.47,10.5
80,"101",37.71,11
80,"100",37.96,11.4
80,"99",38.22,11.9
80,"98",38.48,12.5
80,"97",38.75,13
80,"96",39.03,13.6
80,"95",39.31,14.3
80,"94",39.6,14.9
80,"93",39.9,15.6
80,"92",40.21,16.4
80,"91",40.52,17.2
80,"90",40.85,18
80,"89",41.19,18.9
80,"88",41.54,19.9
80,"87",41.9,20.9
80,"86",42.27,22
80,"85",42.66,23.2
80,"84",43.06,24.4
80,"83",43.48,25.7
80,"82",43.92,27.2
80,"81",44.38,28.7
80,"80",44.85,30.3
80,"79",45.35,32.1
80,"78",45.87,34
80,"77",46.42,36
80,"76",47,38.2
80,"75",47.61,40.6
80,"74",48.26,43.1
80,"73",48.94,45.8
80,"72",49.66,48.6
80,"71",50.42,51.7
80,"70",51.22,54.8
80,"69",52.06,58.2
80,"68",52.94,61.6
80,"67",53.85,65
80,"66",54.79,68.4
80,"65",55.75,71.7
80,"64",56.71,74.9
80,"63",57.68,77.9
80,"62",58.63,80.6
80,"61",59.56,83
80,"60",60.46,85.2
80,"59",61.33,87.1
80,"58",62.18,88.8
80,"57",62.99,90.3
80,"56",63.77,91.6
80,"55",64.52,92.7
80,"54",65.24,93.6
80,"53",65.94,94.5
80,"52",66.61,95.2
80,"51",67.26,95.8
80,"50",67.89,96.3
80,"49",68.5,96.8
80,"48",69.09,97.2
80,"47",69.66,97.5
81,"138",32.4,3.9
81,"137",32.52,4
81,"136",32.64,4.1
81,"135",32.76,4.2
81,"134",32.88,4.3
81,"133",33,4.5
81,"132",33.12,4.6
81,"131",33.25,4.7
81,"130",33.38,4.8
81,"129",33.51,5
81,"128",33.64,5.1
81,"127",33.77,5.2
81,"126",33.9,5.4
81,"125",34.04,5.5
81,"124",34.17,5.7
81,"123",34.31,5.8
81,"122",34.46,6
81,"121",34.6,6.2
81,"120",34.74,6.4
81,"119",34.89,6.5
81,"118",35.04,6.7
81,"117",35.2,6.9
81,"116",35.35,7.1
81,"115",35.51,7.4
81,"114",35.67,7.6
81,"113",35.83,7.8
81,"112",36,8.1
81,"111",36.17,8.3
81,"110",36.34,8.6
81,"109",36.51,8.9
81,"108",36.69,9.2
81,"107",36.87,9.5
81,"106",37.06,9.8
81,"105",37.25,10.1
81,"104",37.44,10.5
81,"103",37.64,10.8
81,"102",37.84,11.2
81,"101",38.05,11.6
81,"100",38.26,12
81,"99",38.48,12.5
81,"98",38.7,12.9
81,"97",38.93,13.4
81,"96",39.17,13.9
81,"95",39.41,14.5
81,"94",39.66,15.1
81,"93",39.92,15.7
81,"92",40.18,16.3
81,"91",40.45,17
81,"90",40.74,17.7
81,"89",41.03,18.5
81,"88",41.33,19.3
81,"87",41.65,20.2
81,"86",41.98,21.1
81,"85",42.32,22.1
81,"84",42.67,23.2
81,"83",43.05,24.3
81,"82",43.44,25.6
81,"81",43.85,26.9
81,"80",44.29,28.4
81,"79",44.75,30
81,"78",45.24,31.7
81,"77",45.76,33.6
81,"76",46.32,35.7
81,"75",46.93,37.9
81,"74",47.57,40.4
81,"73",48.27,43.2
81,"72",49.04,46.2
81,"71",49.86,49.4
81,"70",50.76,53
81,"69",51.72,56.8
81,"68",52.74,60.8
81,"67",53.81,64.8
81,"66",54.9,68.8
81,"65",55.98,72.5
81,"64",57.03,75.9
81,"63",58.04,78.9
81,"62",59,81.6
81,"61",59.9,83.9
81,"60",60.75,85.9
81,"59",61.56,87.6
81,"58",62.32,89.1
81,"57",63.04,90.4
81,"56",63.72,91.5
81,"55",64.38,92.5
81,"54",65.01,93.3
81,"53",65.61,94.1
81,"52",66.19,94.7
81,"51",66.75,95.3
81,"50",67.29,95.8
81,"49",67.82,96.3
81,"48",68.33,96.7
81,"47",68.83,97
82,"138",33.51,5
82,"137",33.61,5.1
82,"136",33.71,5.2
82,"135",33.82,5.3
82,"134",33.92,5.4
82,"133",34.03,5.5
82,"132",34.13,5.6
82,"131",34.24,5.8
82,"130",34.35,5.9
82,"129",34.46,6
82,"128",34.58,6.2
82,"127",34.69,6.3
82,"126",34.81,6.4
82,"125",34.92,6.6
82,"124",35.04,6.7
82,"123",35.16,6.9
82,"122",35.29,7.1
82,"121",35.41,7.2
82,"120",35.54,7.4
82,"119",35.66,7.6
82,"118",35.79,7.8
82,"117",35.93,8
82,"116",36.06,8.2
82,"115",36.2,8.4
82,"114",36.33,8.6
82,"113",36.47,8.8
82,"112",36.62,9
82,"111",36.76,9.3
82,"110",36.91,9.5
82,"109",37.06,9.8
82,"108",37.22,10.1
82,"107",37.38,10.3
82,"106",37.54,10.6
82,"105",37.7,10.9
82,"104",37.87,11.3
82,"103",38.04,11.6
82,"102",38.21,11.9
